"","description2"
"11","Netherlands,  - A 17-year-old girl who wrote a book about her struggle with mental illness after being molested and raped has died after requesting to be legally euthanized in the Netherlands, according to reports.

Initial reports claimed Noa Pothoven chose to end her life Sunday with the assistance of an end of life clinic, which has been legal in the Netherlands since 2002.

But it is unclear whether she died because doctors directly intervened, or if she refused to eat.

A spokesman for Lisa Westerveld, a Dutch member of parliament, told the website DutchNews.nl Wednesday that she was one of the people invited to say goodbye to her before she passed away, adding, ""as far as we know, she died because she didn't eat any more"".

The teen from Amhem suffered from post-traumatic stress disorder, depression and anorexia after being molested when she was 11 and 12 and raped by two men when she was 14, The Sun reported.

In an Instagram post written on the day before her death, which has since been deleted, she wrote: “Maybe this comes as a surprise to some, given my posts about hospitalization, but my plan has been there for a long time and is not impulsive.”

Noa said she had been fighting for years and was now “drained,” and that she felt she had never been alive but was instead just “surviving.”

 “I have quit eating and drinking for a while now, and after many discussions and evaluations, it was decided to let me go because my suffering is unbearable,” Pothoven wrote, according to Inside Edition. “Love is letting go, in this case.”

She reported the attacks to police last year, and wrote about her struggles in a memoir ""Winning and Learning.

The initial news that she had chosen to end her life by euthanasia drew a response from the Vatican.

Pope Francis, on Wednesday morning, tweeted: ""Euthanasia and assisted suicide are a defeat for all. We are called never to abandon those who are suffering, never giving up but caring and loving to restore hope."""
"12","Fort Lauderdale, FL — The Broward Sheriff’s Office needs help locating a murder suspect who was released from jail when he should not have been.

Eric Vail, 28, was being held at the county jail on a second-degree murder charge but on Thursday, the jail was told that that charge against Vail was dismissed and he was released.

The Sheriff’s Office, which denies it did anything wrong, is now trying to get him back in custody.

“On Thursday, the Broward Sheriff’s Office received unequivocal direction from the State Attorney’s Office that the second degree murder charge on Eric Vail had been dismissed.  We did not have and have not yet located any documentation stating the subject was to be held on another charge.  Our main priority at this time is to locate and apprehend this dangerous criminal,” according to a statement from BSO.

In an updated statement from the Broward State Attorney’s Office released Monday monring, they claim no wrongdoing.

“After speaking again with the Sheriff’s Office this morning, we are confident that the State Attorney’s Office correctly followed all procedures and provided the relevant paperwork through the proper channels.”

Vail had been in the jail since January, accused of being the trigger man in the death of 27-year-old Wadarius Harris in October of last year.

Police say Vail used an AK-47 in the shooting, which was a result of an ongoing feud.

Vail originally was arrested on a second-degree murder charge, but a grand jury indicted him and a suspected accomplice, Christopher Avery Campbell with first-degree murder in April.

An earlier statement from the State Attorney’s Office read, “The second-degree murder charge was initially filed on Jan. 29. The grand jury subsequently indicted the defendant on the first-degree murder charge on April 3. The defendant was arraigned on the more serious charge on April 9.  The defendant was taken to court by the Sheriff’s Office on the first-degree murder charge on Thursday so it’s hard to know how the Sheriff’s Office didn’t know about the first-degree murder charge.  Our office kept the second-degree murder charge open for over 50 days after the indictment on the other charge was filed in court.”

Vail had two cases in Broward Circuit Court, one from his January arrest and the second based on the April grand jury indictment.

On Thursday, Circuit Judge Elizabeth Scherer closed the original case since it involved the same matter as the April charge.

Despite the continuing second case, which Scherer is also overseeing, Vail was released from jail that same day, jail officials said.

Anyone with information on his whereabouts should contact Broward Crime Stoppers at 954-493-TIPS."
"13","Beauregard Parish, LA -  The Beauregard Parish Sheriff’s Office announced the arrest of Dale Bailey on charges of third degree rape and malfeasance in office.

On May 30th the Beauregard Sheriff’s Office received a complaint that a female inmate was sexually assaulted by a BPSO deputy. It was stated by the BPSO that the alleged crime took place at a medical facility outside of the jail.

Evidence collected by the BPSO was found to be consistent with the complaint. Bailey later admitted to having sex with the inmate while she was in custody.

The following day, the BPSO arrested Bailey for third degree rape and malfeasance in office.He was subsequently booked into the Beauregard Parish jail and at this time, no bond has been set.

It was also announced Bailey has been fired from the BPSO.

Third degree rape is defined under the following circumstances, according to state law:

When the victim is incapable of resisting or of understanding the nature of the act by reason of a stupor or abnormal condition of mind produced by an intoxicating agent or any cause and the offender knew or should have known of the victim’s incapacity
	When the victim, through unsoundness of mind, is temporarily or permanently incapable of understanding the nature of the act and the offender knew or should have known of the victim’s incapacity
	When the victim submits under the belief that the person committing the act is someone known to the victim, other than the offender, and such belief is intentionally induced by any artifice, pretense, or concealment practiced by the offender
	When the offender acts without the consent of the victim
If convicted of third-degree rape, Bailey could face a maximum sentence of 25 years in prison. The BPSO is still actively investigating the case."
"14","Billings, MT — A 23-year-old man accused of meeting a rape victim through Facebook has pleaded guilty to rape and sexual assault charges.

The Billings Gazette reports Jacob D. Eastman entered the pleas Thursday to one count of rape and one count of sexual assault in separate cases in a plea agreement with prosecutors.

A plea deal calls for prosecutors to dismiss one other rape charge, as well as charges of burglary and theft from a third case. In addition, prosecutors agreed to recommend a 20-year prison sentence with 10 years suspended.

A sentencing date has not yet been set.

According to court papers, Eastman had sex with a girl younger than 14 and had sexual contact with another 14-year-old.

The legal age of consent in Montana is 16."
"15","Queens, NY - The New York Police Department is seeking the public's assistance in locating a man accused of brutally raping a female acquaintance multiple times at his home in Queens. The woman, who is 29, jumped out of a window to escape.Michael Hosang is wanted in connection with a rape in Queens. NYPD

Michael Hosang, 53, is accused of raping the woman multiple times from 6 a.m. to noon on May 30, the NYPD said. He also punched the woman multiple times in the face, causing at least one fracture, police said.

The victim was able to escape by jumping out of a window, according to police.

Once she escaped, Hosang allegedly fled in a red Chevrolet pickup truck with Florida license plate JZEY32.

Hosang is 5 feet 10 inches, weighs 200 pounds and is bald with brown eyes.

The NYPD is offering a reward of $2,500 for information that leads to his capture."
"16","Kokomo, IN - A 35-year-old Kokomo man is facing 10 counts of child molestation after police say he sexually assaulted a 13-year-old juvenile female multiple times over an eight-month period.

Six of those counts are Level 1 felonies, and the remaining four are Level 4. 

Thomas Robert Huffman was taken into custody without incident Saturday at his residence in the 2700 block of North Washington Street, and he is currently being held at the Howard County Jail on $75,000 cash bond, with 10% required to bond out. 

Earlier this month, the 13-year-old met with a Department of Child Services employee after she researched how to tell a parent about being sexually assaulted and had written her mother a letter describing the incidents.

In the interview with DCS, the girl said that Huffman would rub her genitalia and perform various sexual acts on her while she pretended to be asleep, a probable cause affidavit filed through Howard County Superior Court 1 stated, with those incidents each lasting a few minutes at a time. 

The juvenile also stated in her interview that the incidents began in June 2018 and lasted through the end of March 2019, court records noted.

Huffman has an initial hearing at 9 a.m. Monday, June 3, in Howard Superior Court 1."
"17","Clay County, IN - A Clay County man is behind bars after he was accused of molesting several female juveniles.

On Sunday, officers were called to a Clay County home for reports of possible child molestation.

A witness told police they walked in on 25-year-old Trent Thompson trying to abuse a minor.

The witness said there was a struggle between them and Thompson after they walked in.

After further investigation, police believe Thompson had been sexually abusing several female juveniles for 'quite some time.'

He was arrested and is facing several counts of child molesting and sexual battery.

He is currently in the Clay County Justice Center on a $25,000 bond."
"18","El Paso, TX — Salvadoran man previously deported for alleged child molestation caught in downtown El Paso

A Salvadoran man who was previously deported for alleged child molestation was caught in a group of migrants trying to cross the border in downtown El Paso, authorities said.

Border Patrol agents said 42-year-old Julianito De Jesus Diaz was with his family in a group of migrants.

When agents ran his record, they found that De Jesus Diaz had been deported for allegedly molesting a victim under the age of 12 in Boynton Beach, Florida.

The charge was later reduced to lewd or lascivious conduct, to which he pleaded guilty.

De Jesus Diaz served a year in prison before he was deported in 2002."
"19","Madison County, AL - A 911 call from a Harvest home prompted a murder investigation in Harvest and now, a 27-year-old man is charged in the shooting death of his mother.

Nik Rutberg was arrested in the case. It’s not yet known what led to the killing, which stunned their quiet neighborhood in Madison County.

Japheth Kessio and his wife couldn’t believe it when they saw the headline on Monday that a murder happened right next door.

“Just to know that something like that happened in your immediate neighborhood is terrible. It’s a shock,” he said.

It happened in the middle of the night so the Kessios and other neighbors were asleep. They didn’t see or hear anything.

The Madison County Sheriff’s Office responded to the scene on Lady Slipper Bend around 2 AM Sunday after receiving a 911 call from someone at the house about a shooting.

“Deputies found a 51-year-old female laying on the floor of the residence with a gunshot wound to her torso. There were other members of the residence that were performing CPR on the victim and they continued the CPR until emergency medical personnel arrived. They continued life saving measures but they were unsuccessful in saving this victim’s life,” explained Lt. Donny Shaw, public information officer for the Madison County Sheriff’s Office.

This is the home in Harvest where @mcsosheriffAL says a 27yo man fatally shot his mother. Happened 2 AM Sunday on Lady Slipper Bend. Motive not clear. No one came to the door this morning when I knocked. Neighbors said they had no idea since it happened in the middle of the night

The victim, Elena Voronenkova, passed away from her injuries. Her son, 27-year-old Nik Rutberg was arrested by investigators. No information has been released in terms of a possible motive and what may have been going on inside the home between the family members in the early hours of Sunday morning.

“It’s still an ongoing investigation. Our investigators will stay with it until they’re able to figure out what the motive is,” Lt. Shaw stated.

From the outside on Monday, there were no signs of a crime at the house. Neighbors are still trying to wrap their minds around the fact that violence and tragedy struck so close to home.

“I wonder what could have happened to trigger such a situation. I can’t imagine. It’s very sad. I hope nothing like that happens again. I’m sorry for them,” Kessio added.

According to Kessio, the family has lived in the house next to his home for about a year and mostly kept to themselves. He would see them outside cutting the grass or out back on the deck smoking.

A search of court records indicates Rutberg was on probation for drug possession.

He’s currently being held without bond in the Madison County Jail, charged with murder and probation violation."
"20","Youngstown, OH — Three men from western Pennsylvania and several more from Ohio are facing charges following the undercover bust of a child sexual exploitation ring.

The Ohio Attorney General’s Office has charged 24-year-old David Kent of Cranberry Township, 44-year-old Steven Sutton of Prospect, and 30-year-old Thomas Yakemovic III of West Middlesex.

Thirteen men from Ohio are also facing charges, including two men from Youngstown and one man from Cleveland.

The men are charged with attempted unlawful sexual conduct with a minor, possession of criminal tools and other felony counts.

According to the Ohio Attorney General, the men were taken into custody over the last three days.

The commander of Ohio’s Internet Crimes Against Children Task Force David Frattare said in a news release, “We will continue to do everything in our power to identify and apprehend these individuals before they come in contact with real children. Operations such as these should serve as a reminder that offenders will go to great lengths to exploit popular social media networks and mobile applications to gain access to children for their own sexual gratification.”

The Mahoning Valley Human Trafficking Task for conducted the investigation.

Following their arrests, the suspects were arraigned at an Ohio court.

This is the second undercover sting operation in 2019 in the Youngstown, Ohio, area. Eight men were arrested in the first bust."
"21","Thunderbird Falls, AK - 21-year-old man from Indiana posed as a millionaire and offered a teenager in Alaska a vast sum of money to murder another girl, prosecutors say.

Darin Schilmiller, of New Salisbury, has now been indicted alongside five others in relation to the killing of 19-year-old Cynthia Hoffman (pictured on right)  on June 2. He allegedly posed under the name ""Tyler"" and offered 18-year-old Denali Brehmer $9 million to orchestrate the murder.

According to prosecutors, the brutal proposal sparked a devastating series of events that has also resulted in the arrest of Kayden McIntosh 16, Caleb Leyland, 19, and two minors.

Hoffman, who is referred to as ""CeeCee"" in court filings—was killed in Thunderbird Falls close to the Eklutna River from a single gunshot wound to the back of the head. Officials allege Brehmer and McIntosh drove Hoffman to the area, where she was bound. McIntosh allegedly shot Hoffman before moving her body into the river. The pair destroyed some of the victim's items.

Prosecutors say Brehmer recruited McIntosh, Leyland and the minors to assist in the planning or execution of the murder. Schilmiller allegedly wanted Brehmer to sent him videos or photos of the killing. In exchange, he claimed the teens ""would receive a significant sum of money.""

Hoffman was reported missing by a family member on June 3 after being provided misleading information by the culprits, police said. The victim was described as Brehmer's best friend.

According to local media outlet KTVA, detectives found pornography, SMS texts and footage of sexual assaults on Brehmer's phone that led them to Schilmiller. The FBI traced a number on the device and found it was linked to a Facebook account used by the 21-year-old man.

The Anchorage Daily News reported Brehmer sent images and videos to Schilmiller via Snapchat showing Hoffman tied up before her death, and others were sent after the killing.

KTVA reported that Brehmer told investigators she met Schilmiller online and they had been chatting for several months. He was using a photograph of another male, police said. Brehmer claimed the man also directed her to assault a young child and a 15-year-old.

The assaults took place the the day after Hoffman's death at the behest of Schilmiller, who told police that he blackmailed her, The Anchorage Daily News reported, citing the indictment.

The victim's father, Timothy Hoffman, told the newspaper his daughter had a developmental disability and was vulnerable. ""Her disability just made her want to have friends. That's all she wanted, was just to be her friend,"" he said in comments that were first reported on June 8.

Court documents said: ""Interviews and recovered cell phone evidence reveals that during the course of Schilmiller's and Brehmer's relationship, and several weeks before Hoffman's murder, the two began discussing a plan to rape and murder someone in Alaska.""

The six indicted individuals have now been charged with murder in the first degree, conspiracy to commit murder in the first degree and two counts of murder in the second degree.

Schilmiller and Brehmer were also indicted on one count of solicitation to commit murder in the first degree. Brehmer was further indicted on a count of tampering with physical evidence and McIntosh was indicted on four counts of evidence tampering.

If convicted at trial, the defendants face a sentence of up to 99 years imprisonment for each of the murder charges.

Brehmer and McIntosh face up to five years imprisonment for each of the tampering with physical evidence charges. Schilmiller, who is being extradited to Alaska, is currently in the custody of the FBI. Brehmer, McIntosh and Leyland are in the custody of the state's Department of Corrections and are set to be arraigned today."
"22","Seattle, WA - A 35-year-old White Center man who was recently released from the King County Jail after serving time for rape is now accused of tracking down the victim last weekend, pushing her out of her wheelchair and strangling and beating her in front of her young son, according to prosecutors.

Francisco Carranza-Ramirez was supposed to board a flight to California and return to his native Mexico on Monday after King County Superior Court Judge Nicole Gaines Phelps agreed not to impose community custody, or probation, following his release from jail last week, court records show. He is now wanted on a no-bail warrant for violating conditions of his release on the rape charge, according to court records and King County sheriff’s spokesman Sgt. Ryan Abbott.

Carranza-Ramirez was charged Tuesday with second-degree assault, felony harassment, intimidating a witness and felony violation of a sexual-assault protection order in connection with the attack on the victim, court records show. Each of those charges include a rapid-recidivism allegation, which, if proven, would allow prosecutors to potentially seek an exceptional sentence because the most recent crimes were allegedly committed three days after Carranza-Ramirez was released from jail.

The 32-year-old victim, who is partially paralyzed and uses a wheelchair, suffered numerous cuts and bruises, as well as a seizure and concussion after being strangled and struck in the head during the attack just after 9 p.m. Sunday outside her White Center apartment building, the most recent charges say. She told detectives she is terrified of Carranza-Ramirez, a man she didn’t know when he raped her last fall, and is worried he will return to kill her, say the charges.

Abbott, the sheriff’s spokesman, said Tuesday that after the woman was released from the hospital, she was moved along with her 3-year-old son and her service dog to a safe location outside of the White Center area.

“We’re hoping someone recognizes him,” Abbott said of Carranza-Ramirez, who is homeless and still believed to be in White Center.

Carranza-Ramirez is described as 5 feet 8 inches tall, 140 pounds with a medium skin tone, brown eyes and long black hair. He has previously worn a beard and mustache but it’s unknown if he is still sporting facial hair. Anyone with information of his whereabouts is asked to call 911.

According to court records:

Over two days in September, Carranza-Ramirez approached the victim in her neighborhood and engaged her in small talk. Then on Sept. 26, the woman and her toddler son went to get their mail and Carranza-Ramirez suddenly appeared at the apartment mailboxes, then followed the woman into her apartment uninvited. Due to her disability, the woman later told detectives she didn’t scream for help because she was concerned for her son’s safety.

Carranza-Ramirez raped the woman in her bedroom but during the attack, she convinced him she needed to use the bathroom, the charges say. She called 911 and asked for help; when she heard Carranza-Ramirez get up from the bed, she tucked the phone with the line still open in her wheelchair and returned to the bedroom, where the rape continued, charging papers say.

The dispatcher heard the woman say “Stop” and “I’ll be quiet.” Deputies responded, entered the apartment and interrupted the sexual assault, say the charges. Carranza-Ramirez was arrested at the scene and subsequently charged with third-degree rape.

Carranza-Ramirez entered an Alford plea during his February arraignment, admitting a jury would likely find him guilty.

In a victim-impact statement, the victim wrote that she was terrorized during the rape, questioned why he wasn’t charged with a more serious crime and begged the judge to impose the most severe sentence possible."
"23","Bronx, NY - A black parolee arrested for raping and bashing a white woman on the roof of his Bronx apartment building allegedly told a witness that she “deserved” the brutal attack because of slavery, according to court papers.

“She was a white girl. She deserved it because us minorities have been through slavery,” Temar Bishop, 23, allegedly said to someone who witnessed the bloodied 20-year-old woman after the assaults, according to a criminal complaint.

“This is what they used to do to us. This is what they did to us during slavery. They used to beat us and whip us.”

Temar Bishop, 23, was arrested by authorities on Friday in Virginia on a slew of charges connected to the early morning June 1 assault, which officials have deemed a hate crime, according to authorities.

The 20-year-old met Bishop — who was on parole after serving just over a year behind bars for robbery — around 5 a.m. and joined him on the rooftop of the public housing building on Alexander Avenue near East 137th Street in Mott Haven, police said.

Bishop allegedly punched her repeatedly before raping her, then continued his assault — kicking and punching her in the head and body until she fell unconscious, cops said.He then fled, but returned with the unnamed witness — who saw the woman “laying on the roof landing with blood covering her face” — and then allegedly made the remarks about slavery, court documents say.

The woman was treated at an area hospital for several injuries, including a broken nose and broken teeth. She was also “vomiting blood,” the complaint states.

Police sources previously told The Post a Special Victims Division investigator described the attack as “one of the worst he’s ever seen.”

Bishop was charged with two counts of predatory sexual assault, attempted murder, rape, two counts of assault, sexual abuse, assault and a hate crime.

He was arraigned in Bronx court on Saturday, where he was ordered held without bail, a spokeswoman for the Bronx District attorney’s office said."
